Identifier,Likely.benign,uncertain,Benign,Pathogenic,Likely.pathogenic,seq_len,variant_space
Q96L73,75,175,18,26,57,2696,160317
Q96L73-3,0,4,0,7,23,2593,160024
Q8WY21-2,0,1,0,0,0,1198,NA
Q8WY21-3,0,1,0,0,0,1179,NA
Q96QT6,1,0,0,0,0,1004,NA
Q92576,0,2,0,0,0,2039,4480
Q92576-2,0,1,0,0,0,1951,4480
Q8IWS0,0,15,0,3,3,365,47637
Q8IWS0-2,0,11,0,3,11,312,37490
Q8IWS0-5,0,0,0,0,12,331,47617
Q9UPP1,3,5,0,0,0,1060,102470
Q9UPP1-2,3,12,0,0,1,1024,82034
Q9UPP1-4,3,10,0,0,1,948,82034
Q9UPP1-5,2,10,0,0,1,878,59464
Q9P1Y6,0,1,0,0,0,1649,0
Q9P1Y6-3,0,1,0,0,0,1648,NA
Q9NQX1,1,11,0,0,3,630,227383
Q9NQX1-2,2,19,2,0,5,599,227383
Q9NQX1-3,0,0,0,0,1,111,69121
Q9NQX1-4,2,17,2,0,5,501,212205
Q9NQX0,0,2,0,0,2,595,87345
Q9NQV8,0,36,0,0,0,689,3432
Q7Z5J4,26,27,5,0,1,1906,16471
Q9P2R6,6,92,2,8,6,1566,300769
Q9P2R6-2,4,72,2,8,6,1012,8593
Q9BYW2,8,13,0,1,0,2564,146820
Q9C0A6,10,6,0,0,4,1442,42075
Q9C0A6-3,5,29,0,0,5,1344,41081
Q9HB58,0,22,0,0,0,689,47777
Q9HB58-3,7,98,7,1,0,549,39345
Q9HB58-6,7,138,9,1,0,713,47777
Q9HB58-7,7,98,7,1,0,555,39345
Q6ZRS2,24,33,0,0,3,3230,35531
P21675-13,4,35,0,8,28,1852,97648
P21675-14,4,35,0,8,28,1873,97648
Q9UGU0,20,110,5,0,5,1960,45196
Q9UGU0-2,12,72,3,0,3,1938,45196
O60522,1,0,0,0,0,2096,0
O60522-2,1,0,0,0,0,2066,NA
Q8NHU6,2,45,2,0,1,1098,67061
Q8NHU6-2,2,43,2,0,1,1024,64767
Q8NDG6,0,3,0,0,0,1382,36805
Q6N021,0,8,0,0,2,2002,40605
Q6N021-2,0,3,0,0,1,1165,2156
O43151,0,5,0,0,2,1795,55476
