Gene,Isoform,Count,Length,Gene_Total_Count
Q07955,Q07955,1,248,3
Q12830,Q12830,83,3046,161
Q12830,Q12830-2,78,2920,161
Q12873,Q12873-2,104,1966,323
Q12873,Q12873-3,113,2059,323
Q12873,Q12873,106,2000,323
Q13029,Q13029-5,6,1481,12
Q13029,Q13029,6,1718,12
Q13330,Q13330,2,715,4
Q13330,Q13330-3,2,698,4
Q13342,Q13342-6,3,807,11
Q13342,Q13342-3,3,753,11
Q13342,Q13342-5,2,840,11
Q13342,Q13342,3,867,11
Q14781,Q14781,16,532,17
Q14781,Q14781-2,1,211,17
Q14839,Q14839-2,107,1940,214
Q14839,Q14839,107,1912,214
Q149N8,Q149N8-2,1,929,4
Q149N8,Q149N8,2,1683,4
Q149N8,Q149N8-4,1,1659,4
Q15059,Q15059,1,726,2
Q15059,Q15059-2,1,556,2
Q15910,Q15910-2,113,751,668
Q15910,Q15910-3,110,707,668
Q15910,Q15910-5,220,695,668
Q15910,Q15910-4,112,737,668
Q15910,Q15910,113,746,668
Q3L8U1,Q3L8U1-2,2,2881,4
Q3L8U1,Q3L8U1,2,2897,4
Q49A26,Q49A26-3,2,547,6
Q49A26,Q49A26,2,553,6
Q49A26,Q49A26-5,2,472,6
Q4FZB7,Q4FZB7,78,885,130
Q4FZB7,Q4FZB7-4,14,278,130
Q4FZB7,Q4FZB7-2,38,393,130
Q58F21,Q58F21,3,947,5
Q58F21,Q58F21-4,1,901,5
Q58F21,Q58F21-5,1,874,5
Q6IE81,Q6IE81-2,1,830,5
Q6IE81,Q6IE81,4,842,5
Q6N021,Q6N021,110,2002,178
Q6N021,Q6N021-3,33,1194,178
Q6N021,Q6N021-2,35,1165,178
Q6RI45,Q6RI45,95,1802,95
Q6ZRS2,Q6ZRS2,768,3230,768
Q76L83,Q76L83,92,1435,147
Q76L83,Q76L83-2,55,918,147
Q7LBC6,Q7LBC6,35,1761,35
Q7Z5J4,Q7Z5J4,505,1906,505
Q86VD1,Q86VD1-2,1,963,4
Q86VD1,Q86VD1,1,984,4
Q86VD1,Q86VD1-2,1,963,4
Q86VD1,Q86VD1,1,984,4
Q8IWS0,Q8IWS0-5,74,331,226
Q8IWS0,Q8IWS0-2,32,312,226
Q8IWS0,Q8IWS0,120,365,226
Q8IXJ9,Q8IXJ9,220,1541,220
Q8IZD2,Q8IZD2,58,1858,195
Q8IZD2,Q8IZD2-3,26,609,195
Q8IZD2,Q8IZD2-8,32,1168,195
Q8IZD2,Q8IZD2-4,22,865,195
Q8IZD2,Q8IZD2-7,57,1816,195
Q8N371,Q8N371-2,2,220,6
Q8N371,Q8N371-3,2,454,6
Q8N371,Q8N371,2,416,6
Q8NB78,Q8NB78-2,1,590,2
Q8NB78,Q8NB78,1,822,2
Q8NDG6,Q8NDG6,6,1382,6
Q8NEZ4,Q8NEZ4-3,395,4968,790
Q8NEZ4,Q8NEZ4,395,4911,790
Q8NFU7,Q8NFU7,7,2136,7
Q8NHM5,Q8NHM5-4,2,1265,6
Q8NHM5,Q8NHM5-5,1,559,6
Q8NHM5,Q8NHM5,3,1336,6
Q8NHU6,Q8NHU6,46,1098,46
Q8TBE0,Q8TBE0-2,1,779,3
Q8TBE0,Q8TBE0,1,780,3
Q8TBE0,Q8TBE0-3,1,777,3
Q8TD26,Q8TD26-2,1,373,9
Q8TD26,Q8TD26,8,2715,9
Q8TE76,Q8TE76-3,1,900,2
Q8TE76,Q8TE76,1,937,2
Q8WUI4,Q8WUI4-6,2,974,8
Q8WUI4,Q8WUI4,2,952,8
Q8WUI4,Q8WUI4-7,2,954,8
Q8WUI4,Q8WUI4-5,2,991,8
Q8WY21,Q8WY21,2,1168,2
Q8WYB5,Q8WYB5-3,780,1781,1931
Q8WYB5,Q8WYB5-2,420,1890,1931
Q8WYB5,Q8WYB5,731,2073,1931
Q92576,Q92576,10,2039,10
Q92667,Q92667,35,903,49
Q92667,Q92667-2,14,593,49
Q92769,Q92769,3,488,7
Q92769,Q92769-3,4,458,7
Q92800,Q92800-3,2,707,8
Q92800,Q92800-4,2,677,8
Q92800,Q92800,4,747,8
Q92830,Q92830,1,837,1
Q92993,Q92993-3,8,546,30
Q92993,Q92993,8,513,30
Q92993,Q92993-2,7,461,30
Q92993,Q92993-4,7,494,30
Q96K21,Q96K21-3,1,403,2
Q96K21,Q96K21,1,471,2
Q96KQ7,Q96KQ7-2,1,1176,2
Q96KQ7,Q96KQ7,1,1210,2
Q96L73,Q96L73,534,2696,1049
Q96L73,Q96L73-3,515,2593,1049
Q96L91,Q96L91-2,16,3123,16
Q96QT6,Q96QT6-2,2,704,7
Q96QT6,Q96QT6-5,2,849,7
Q96QT6,Q96QT6,3,1004,7
Q99496,Q99496,3,336,6
Q99496,Q99496-2,3,264,6
Q9BTC0,Q9BTC0,14,2240,14
Q9BTC8,Q9BTC8-2,1,515,2
Q9BTC8,Q9BTC8,1,594,2
Q9BVI0,Q9BVI0,3,1012,3
Q9BWX1,Q9BWX1,1,381,3
Q9BWX1,Q9BWX1-2,2,342,3
Q9BXF3,Q9BXF3-3,5,1464,10
Q9BXF3,Q9BXF3,5,1484,10
Q9BXT4,Q9BXT4,1,1180,2
Q9BXT4,Q9BXT4-3,1,1189,2
Q9BXT8,Q9BXT8,6,1623,11
Q9BXT8,Q9BXT8-1,5,653,11
Q9BY41,Q9BY41,64,377,253
Q9BY41,Q9BY41-4,47,286,253
Q9BY41,Q9BY41-6,23,139,253
Q9BY41,Q9BY41-8,50,146,253
Q9BY41,Q9BY41-5,44,256,253
Q9BY41,Q9BY41-7,25,158,253
Q9BYW2,Q9BYW2,463,2564,463
Q9C0A6,Q9C0A6,400,1442,400
Q9C0F0,Q9C0F0,146,2248,146
Q9H0E9,Q9H0E9,3,1235,3
Q9H3R0,Q9H3R0-2,2,1047,6
Q9H3R0,Q9H3R0-3,2,813,6
Q9H3R0,Q9H3R0,2,1056,6
Q9H7Z6,Q9H7Z6-2,16,467,48
Q9H7Z6,Q9H7Z6,32,458,48
Q9H9B1,Q9H9B1,585,1298,1027
Q9H9B1,Q9H9B1-2,47,66,1027
Q9H9B1,Q9H9B1-4,395,808,1027
Q9HB58,Q9HB58-7,111,555,675
Q9HB58,Q9HB58-3,111,549,675
Q9HB58,Q9HB58-6,151,713,675
Q9HB58,Q9HB58,302,689,675
Q9HCK8,Q9HCK8-2,376,2302,1054
Q9HCK8,Q9HCK8,678,2581,1054
Q9NP73,Q9NP73-2,37,165,573
Q9NP73,Q9NP73-4,244,954,573
Q9NP73,Q9NP73,292,1137,573
Q9NQC1,Q9NQC1,1,790,2
Q9NQC1,Q9NQC1-3,1,562,2
Q9NQV8,Q9NQV8,540,689,540
Q9NQX0,Q9NQX0,6,595,6
Q9NQX1,Q9NQX1-3,12,111,186
Q9NQX1,Q9NQX1-2,58,599,186
Q9NQX1,Q9NQX1-4,52,501,186
Q9NQX1,Q9NQX1,64,630,186
Q9NR48,Q9NR48,127,2969,635
Q9NR48,Q9NR48-2,508,2964,635
Q9NRL2,Q9NRL2,4,1556,6
Q9NRL2,Q9NRL2-2,2,1524,6
Q9NSI6,Q9NSI6-4,1,120,25
Q9NSI6,Q9NSI6,8,2320,25
Q9NSI6,Q9NSI6-2,8,2269,25
Q9NSI6,Q9NSI6-3,8,2199,25
Q9NTX5,Q9NTX5,1,307,5
Q9NTX5,Q9NTX5-2,3,301,5
Q9NTX5,Q9NTX5-3,1,226,5
Q9NUN5,Q9NUN5-3,490,467,554
Q9NUN5,Q9NUN5,64,540,554
Q9P1Y6,Q9P1Y6,4,1649,12
Q9P1Y6,Q9P1Y6-3,4,1648,12
Q9P1Y6,Q9P1Y6-2,4,1494,12
Q9P267,Q9P267-2,313,851,870
Q9P267,Q9P267,557,1494,870
Q9P2D1,Q9P2D1-2,365,1138,1561
Q9P2D1,Q9P2D1,879,2997,1561
Q9P2D1,Q9P2D1-4,317,948,1561
Q9P2R6,Q9P2R6,314,1566,542
Q9P2R6,Q9P2R6-2,228,1012,542
Q9UBN7,Q9UBN7,144,1215,144
Q9UGL1,Q9UGL1,36,1544,72
Q9UGL1,Q9UGL1-2,36,1580,72
Q9UGU0,Q9UGU0-2,91,1938,375
Q9UGU0,Q9UGU0,284,1960,375
Q9UIF8,Q9UIF8,11,2168,22
Q9UIF8,Q9UIF8-5,11,2132,22
Q9UIG0,Q9UIG0,12,1483,12
Q9UIS9,Q9UIS9-4,1,503,16
Q9UIS9,Q9UIS9,3,605,16
Q9UIS9,Q9UIS9-2,2,586,16
Q9UIS9,Q9UIS9-11,1,535,16
Q9UIS9,Q9UIS9-12,1,655,16
Q9UIS9,Q9UIS9-10,1,567,16
Q9UIS9,Q9UIS9-5,1,556,16
Q9UIS9,Q9UIS9-6,1,550,16
Q9UIS9,Q9UIS9-7,2,549,16
Q9UIS9,Q9UIS9-8,1,536,16
Q9UIS9,Q9UIS9-9,2,630,16
Q9UK53,Q9UK53-4,3,235,9
Q9UK53,Q9UK53-3,3,210,9
Q9UK53,Q9UK53-2,3,279,9
Q9UKV0,Q9UKV0-10,1,562,24
Q9UKV0,Q9UKV0-8,1,588,24
Q9UKV0,Q9UKV0,3,1011,24
Q9UKV0,Q9UKV0-6,4,1025,24
Q9UKV0,Q9UKV0-11,1,513,24
Q9UKV0,Q9UKV0-3,1,590,24
Q9UKV0,Q9UKV0-5,4,1066,24
Q9UKV0,Q9UKV0-7,8,1069,24
Q9UKV0,Q9UKV0-9,1,546,24
Q9UNL4,Q9UNL4-3,1,225,6
Q9UNL4,Q9UNL4-4,1,245,6
Q9UNL4,Q9UNL4-8,1,179,6
Q9UNL4,Q9UNL4,1,249,6
Q9UNL4,Q9UNL4-2,1,248,6
Q9UNL4,Q9UNL4-5,1,246,6
Q9UPP1,Q9UPP1-2,41,1024,120
Q9UPP1,Q9UPP1,47,1060,120
Q9UPP1,Q9UPP1-5,32,878,120
Q9UQL6,Q9UQL6,10,1122,20
Q9UQL6,Q9UQL6-3,5,1123,20
Q9UQL6,Q9UQL6-2,5,1037,20
Q9Y2W6,Q9Y2W6,4,561,5
Q9Y2W6,Q9Y2W6-3,1,516,5
Q9Y6X9,Q9Y6X9-2,239,970,485
Q9Y6X9,Q9Y6X9,246,1032,485
Q9Y6Y1,Q9Y6Y1-4,5,101,119
Q9Y6Y1,Q9Y6Y1-3,5,80,119
Q9Y6Y1,Q9Y6Y1,109,1673,119
