Isoform,Count,Length,Isoform_Count
Q9BY41-8,50,146,6
Q9UKV0-10,1,562,11
Q9UKV0-11,1,513,11
Q9UKV0-3,1,590,11
Q9UKV0-5,4,1066,11
Q9UKV0-6,4,1025,11
Q9UKV0-7,8,1069,11
Q9UKV0-8,1,588,11
Q9UKV0-9,1,546,11
P00390-3,23,493,5
P00390-4,24,469,5
P00390-5,21,440,5
P10912-4,73,616,4
P12272-2,48,175,3
P12272-3,16,209,3
P16473-2,22,253,3
P16473-3,23,274,3
P30968-2,26,249,2
P42898-2,280,697,2
Q96K21-3,1,403,4
Q9UK53-2,3,279,5
Q9UK53-3,3,210,5
Q9UK53-4,3,235,5
Q99496-2,3,264,2
Q9UNL4-2,1,248,8
Q9UNL4-3,1,225,8
Q9UNL4-4,1,245,8
Q9UNL4-5,1,246,8
Q9UNL4-8,1,179,8
Q6IE81-2,1,830,3
Q9NQC1-3,1,562,3
Q92993-2,7,461,4
Q92993-3,8,546,4
Q92993-4,7,494,4
Q8WYB5-2,420,1890,3
Q8WYB5-3,780,1781,3
Q9H7Z6-2,16,467,2
O60341-2,31,876,2
Q8NB78-2,1,590,3
Q8NHM5-4,2,1265,5
Q8NHM5-5,1,559,5
O94953-2,7,448,2
Q9H3R0-2,2,1047,4
Q9H3R0-3,2,813,4
Q9UGL1-2,36,1580,2
P41229-2,171,1557,5
P41229-3,166,1516,5
P41229-4,144,1379,5
P41229-5,172,1559,5
O15054-1,65,1682,2
Q8N371-2,2,220,3
Q8N371-3,2,454,3
Q03164-2,527,3931,3
Q03164-3,532,3972,3
Q8NEZ4-3,395,4968,3
O14686-3,1271,5540,2
Q8IZD2-3,26,609,8
Q8IZD2-4,22,865,8
Q8IZD2-7,57,1816,8
Q8IZD2-8,32,1168,8
Q4FZB7-2,38,393,3
Q4FZB7-4,14,278,3
Q9NUN5-3,490,467,4
Q9UIS9-10,1,567,11
Q9UIS9-11,1,535,11
Q9UIS9-12,1,655,11
Q9UIS9-2,2,586,11
Q9UIS9-4,1,503,11
Q9UIS9-5,1,556,11
Q9UIS9-6,1,550,11
Q9UIS9-7,2,549,11
Q9UIS9-8,1,536,11
Q9UIS9-9,2,630,11
O95243-2,16,574,5
O95243-3,15,540,5
O95243-5,15,572,5
O95243-6,10,262,5
Q9P267-2,313,851,2
P51608-2,459,498,2
Q86VD1-2,1,963,2
Q9Y6X9-2,239,970,2
Q8TE76-3,1,900,3
P52701-3,2964,1230,4
Q13330-3,2,698,3
Q9Y6Y1-3,5,80,4
Q9Y6Y1-4,5,101,4
O94983-3,1,1197,6
O94983-4,1,1201,6
O94983-6,1,1241,6
Q9BTC8-2,1,515,2
Q96L73-3,515,2593,3
Q86VD1-2,1,963,2
Q96QT6-2,2,704,5
Q96QT6-5,2,849,5
O94880-1,1,888,3
Q8IWS0-2,32,312,5
Q8IWS0-5,74,331,5
Q9BWX1-2,2,342,2
Q9UPP1-2,41,1024,5
Q9UPP1-5,32,878,5
Q9P1Y6-2,4,1494,3
Q9P1Y6-3,4,1648,3
O75626-2,54,789,3
O75626-3,17,691,3
Q13029-5,6,1481,5
Q9NQX1-2,58,599,4
Q9NQX1-3,12,111,4
Q9NQX1-4,52,501,4
Q9P2R6-2,228,1012,2
Q9BXT8-1,5,653,5
Q07955-3,2,201,3
Q149N8-2,1,929,4
Q149N8-4,1,1659,4
Q9HB58-3,111,549,7
Q9HB58-6,151,713,7
Q9HB58-7,111,555,7
Q13342-3,3,753,6
Q13342-5,2,840,6
Q13342-6,3,807,6
P21675-13,119,1852,15
P21675-14,119,1873,15
Q9UGU0-2,91,1938,2
Q9BXT4-3,1,1189,4
O60522-2,4,2066,2
Q9Y2W6-3,1,516,2
Q6N021-2,35,1165,3
Q6N021-3,33,1194,3
